--- ZNALEZIONE MOŻLIWE TRASY ---
[ OK ], CYSTERNA_B1b_OUT , CYSTERNA_B1b_IN ,(Liczba segmentów: 2)
[ OK ], CYSTERNA_B12c_OUT , B10c_IN ,(Liczba segmentów: 5)
[ OK ], R1_OUT , R1_IN_uszkodzony ,(Liczba segmentów: 6)
[ OK ], R1_OUT , R2_IN ,(Liczba segmentów: 6)
[ OK ], R1_OUT , R3_IN ,(Liczba segmentów: 6)
[ OK ], R1_OUT , R4_IN ,(Liczba segmentów: 6)
[ OK ], R1_OUT , R5_IN ,(Liczba segmentów: 6)
[ OK ], R2_OUT , R1_IN_uszkodzony ,(Liczba segmentów: 6)
[ OK ], R2_OUT , R2_IN ,(Liczba segmentów: 6)
[ OK ], R2_OUT , R3_IN ,(Liczba segmentów: 6)
[ OK ], R2_OUT , R4_IN ,(Liczba segmentów: 6)
[ OK ], R2_OUT , R5_IN ,(Liczba segmentów: 6)
[ OK ], R2_OUT , R6_IN ,(Liczba segmentów: 6)
[ OK ], R2_OUT , R7_IN ,(Liczba segmentów: 6)
[ OK ], R2_OUT , R8_IN ,(Liczba segmentów: 6)
[ OK ], R2_OUT , R9_IN ,(Liczba segmentów: 6)
[ OK ], R3_OUT , B8b_IN ,(Liczba segmentów: 6)
[ OK ], R4_OUT , R1_IN_uszkodzony ,(Liczba segmentów: 6)
[ OK ], R4_OUT , R2_IN ,(Liczba segmentów: 6)
[ OK ], R4_OUT , R3_IN ,(Liczba segmentów: 6)
[ OK ], R4_OUT , R4_IN ,(Liczba segmentów: 6)
[ OK ], R4_OUT , R5_IN ,(Liczba segmentów: 6)
[ OK ], R5_OUT , R1_IN_uszkodzony ,(Liczba segmentów: 6)
[ OK ], R5_OUT , R2_IN ,(Liczba segmentów: 6)
[ OK ], R5_OUT , R3_IN ,(Liczba segmentów: 6)
[ OK ], R5_OUT , R4_IN ,(Liczba segmentów: 6)
[ OK ], R5_OUT , R5_IN ,(Liczba segmentów: 6)
[ OK ], R5_OUT , R6_IN ,(Liczba segmentów: 6)
[ OK ], R5_OUT , R7_IN ,(Liczba segmentów: 6)
[ OK ], R5_OUT , R8_IN ,(Liczba segmentów: 6)
[ OK ], R5_OUT , R9_IN ,(Liczba segmentów: 6)
[ OK ], R6_OUT , B8b_IN ,(Liczba segmentów: 6)
[ OK ], R8_OUT , R1_IN_uszkodzony ,(Liczba segmentów: 6)
[ OK ], R8_OUT , R2_IN ,(Liczba segmentów: 6)
[ OK ], R8_OUT , R3_IN ,(Liczba segmentów: 6)
[ OK ], R8_OUT , R4_IN ,(Liczba segmentów: 6)
[ OK ], R8_OUT , R5_IN ,(Liczba segmentów: 6)
[ OK ], R8_OUT , R6_IN ,(Liczba segmentów: 6)
[ OK ], R8_OUT , R7_IN ,(Liczba segmentów: 6)
[ OK ], R8_OUT , R8_IN ,(Liczba segmentów: 6)
[ OK ], R8_OUT , R9_IN ,(Liczba segmentów: 6)
[ OK ], R9_OUT , B8b_IN ,(Liczba segmentów: 6)
[ OK ], B6b_OUT , R1_IN_uszkodzony ,(Liczba segmentów: 6)
[ OK ], B6b_OUT , R2_IN ,(Liczba segmentów: 6)
[ OK ], B6b_OUT , R3_IN ,(Liczba segmentów: 6)
[ OK ], B6b_OUT , R4_IN ,(Liczba segmentów: 6)
[ OK ], B6b_OUT , R5_IN ,(Liczba segmentów: 6)
[ OK ], B6b_OUT , R6_IN ,(Liczba segmentów: 6)
[ OK ], B6b_OUT , R7_IN ,(Liczba segmentów: 6)
[ OK ], B6b_OUT , R8_IN ,(Liczba segmentów: 6)
[ OK ], B6b_OUT , R9_IN ,(Liczba segmentów: 6)
[ OK ], B7b_OUT , B8b_IN ,(Liczba segmentów: 6)
[ OK ], B8b_OUT , B7b_IN ,(Liczba segmentów: 6)
[ OK ], B9b_OUT , B10b_IN ,(Liczba segmentów: 6)
[ OK ], B10b_OUT , B9b_IN ,(Liczba segmentów: 6)
[ OK ], B7c_OUT , B8c_IN ,(Liczba segmentów: 6)
[ OK ], B7c_OUT , B9c_IN ,(Liczba segmentów: 6)
[ OK ], B8c_OUT , B7c_IN ,(Liczba segmentów: 6)
[ OK ], B8c_OUT , B10c_IN ,(Liczba segmentów: 6)
[ OK ], B9c_OUT , B7c_IN ,(Liczba segmentów: 6)
[ OK ], B9c_OUT , B10c_IN ,(Liczba segmentów: 6)
[ OK ], B10c_OUT , B8c_IN ,(Liczba segmentów: 6)
[ OK ], B10c_OUT , B9c_IN ,(Liczba segmentów: 6)
[ OK ], B10c_OUT , B12c_IN ,(Liczba segmentów: 6)
[ OK ], B11c_OUT , B11c_IN ,(Liczba segmentów: 6)
[ OK ], B12c_OUT , B10c_IN ,(Liczba segmentów: 6)
[ OK ], BIALA_OUT , B9c_IN ,(Liczba segmentów: 6)
[ OK ], CYSTERNA_B12c_OUT , B9c_IN ,(Liczba segmentów: 6)
[ OK ], R1_OUT , R6_IN ,(Liczba segmentów: 7)
[ OK ], R1_OUT , R7_IN ,(Liczba segmentów: 7)
[ OK ], R1_OUT , R8_IN ,(Liczba segmentów: 7)
[ OK ], R1_OUT , R9_IN ,(Liczba segmentów: 7)
[ OK ], R2_OUT , B8b_IN ,(Liczba segmentów: 7)
[ OK ], R3_OUT , B7b_IN ,(Liczba segmentów: 7)
[ OK ], R4_OUT , R6_IN ,(Liczba segmentów: 7)
[ OK ], R4_OUT , R7_IN ,(Liczba segmentów: 7)
[ OK ], R4_OUT , R8_IN ,(Liczba segmentów: 7)
[ OK ], R4_OUT , R9_IN ,(Liczba segmentów: 7)
[ OK ], R5_OUT , B8b_IN ,(Liczba segmentów: 7)
[ OK ], R6_OUT , B7b_IN ,(Liczba segmentów: 7)
[ OK ], R7_OUT , R1_IN_uszkodzony ,(Liczba segmentów: 7)
[ OK ], R7_OUT , R2_IN ,(Liczba segmentów: 7)
[ OK ], R7_OUT , R3_IN ,(Liczba segmentów: 7)
[ OK ], R7_OUT , R4_IN ,(Liczba segmentów: 7)
[ OK ], R7_OUT , R5_IN ,(Liczba segmentów: 7)
[ OK ], R7_OUT , B8c_IN ,(Liczba segmentów: 7)
[ OK ], R7_OUT , B9c_IN ,(Liczba segmentów: 7)
[ OK ], R8_OUT , B8b_IN ,(Liczba segmentów: 7)
[ OK ], R9_OUT , B7b_IN ,(Liczba segmentów: 7)
[ OK ], B5b_OUT , R1_IN_uszkodzony ,(Liczba segmentów: 7)
[ OK ], B5b_OUT , R2_IN ,(Liczba segmentów: 7)
[ OK ], B5b_OUT , R3_IN ,(Liczba segmentów: 7)
[ OK ], B5b_OUT , R4_IN ,(Liczba segmentów: 7)
[ OK ], B5b_OUT , R5_IN ,(Liczba segmentów: 7)
[ OK ], B5b_OUT , R6_IN ,(Liczba segmentów: 7)
[ OK ], B5b_OUT , R7_IN ,(Liczba segmentów: 7)
[ OK ], B5b_OUT , R8_IN ,(Liczba segmentów: 7)
[ OK ], B5b_OUT , R9_IN ,(Liczba segmentów: 7)
[ OK ], B6b_OUT , B8b_IN ,(Liczba segmentów: 7)
[ OK ], B7b_OUT , B7b_IN ,(Liczba segmentów: 7)
[ OK ], B8b_OUT , B6b_IN ,(Liczba segmentów: 7)
[ OK ], B9b_OUT , R1_IN_uszkodzony ,(Liczba segmentów: 7)
[ OK ], B9b_OUT , R2_IN ,(Liczba segmentów: 7)
[ OK ], B9b_OUT , R3_IN ,(Liczba segmentów: 7)
[ OK ], B9b_OUT , R4_IN ,(Liczba segmentów: 7)
[ OK ], B9b_OUT , R5_IN ,(Liczba segmentów: 7)
[ OK ], B9b_OUT , R6_IN ,(Liczba segmentów: 7)
[ OK ], B9b_OUT , R7_IN ,(Liczba segmentów: 7)
[ OK ], B9b_OUT , R8_IN ,(Liczba segmentów: 7)
[ OK ], B9b_OUT , R9_IN ,(Liczba segmentów: 7)
[ OK ], B10b_OUT , B10b_IN ,(Liczba segmentów: 7)
[ OK ], B6c_OUT , B8c_IN ,(Liczba segmentów: 7)
[ OK ], B6c_OUT , B9c_IN ,(Liczba segmentów: 7)
[ OK ], B7c_OUT , B7c_IN ,(Liczba segmentów: 7)
[ OK ], B7c_OUT , B10c_IN ,(Liczba segmentów: 7)
[ OK ], B8c_OUT , B6c_IN ,(Liczba segmentów: 7)
[ OK ], B8c_OUT , B11c_IN ,(Liczba segmentów: 7)
[ OK ], B9c_OUT , B6c_IN ,(Liczba segmentów: 7)
[ OK ], B9c_OUT , B11c_IN ,(Liczba segmentów: 7)
[ OK ], B10c_OUT , B7c_IN ,(Liczba segmentów: 7)
[ OK ], B10c_OUT , B10c_IN ,(Liczba segmentów: 7)
[ OK ], B10c_OUT , B11c_IN ,(Liczba segmentów: 7)
[ OK ], B11c_OUT , B8c_IN ,(Liczba segmentów: 7)
[ OK ], B11c_OUT , B9c_IN ,(Liczba segmentów: 7)
[ OK ], B11c_OUT , B10c_IN ,(Liczba segmentów: 7)
[ OK ], B12c_OUT , B9c_IN ,(Liczba segmentów: 7)
[ OK ], MAUZER_OUT , B9b_IN ,(Liczba segmentów: 7)
[ OK ], CYSTERNA_B10b_OUT , B9b_IN ,(Liczba segmentów: 7)
[ OK ], R1_OUT , B8b_IN ,(Liczba segmentów: 8)
[ OK ], R1_OUT , B8c_IN ,(Liczba segmentów: 8)
[ OK ], R1_OUT , B9c_IN ,(Liczba segmentów: 8)
[ OK ], R2_OUT , B7b_IN ,(Liczba segmentów: 8)
[ OK ], R3_OUT , B6b_IN ,(Liczba segmentów: 8)
[ OK ], R4_OUT , B8b_IN ,(Liczba segmentów: 8)
[ OK ], R4_OUT , B8c_IN ,(Liczba segmentów: 8)
[ OK ], R4_OUT , B9c_IN ,(Liczba segmentów: 8)
[ OK ], R5_OUT , B7b_IN ,(Liczba segmentów: 8)
[ OK ], R6_OUT , B6b_IN ,(Liczba segmentów: 8)
[ OK ], R7_OUT , B8b_IN ,(Liczba segmentów: 8)
[ OK ], R7_OUT , B7c_IN ,(Liczba segmentów: 8)
[ OK ], R7_OUT , B10c_IN ,(Liczba segmentów: 8)
[ OK ], R8_OUT , B7b_IN ,(Liczba segmentów: 8)
[ OK ], R8_OUT , B8c_IN ,(Liczba segmentów: 8)
[ OK ], R8_OUT , B9c_IN ,(Liczba segmentów: 8)
[ OK ], R9_OUT , B6b_IN ,(Liczba segmentów: 8)
[ OK ], B4b_OUT , R1_IN_uszkodzony ,(Liczba segmentów: 8)
[ OK ], B4b_OUT , R2_IN ,(Liczba segmentów: 8)
[ OK ], B4b_OUT , R3_IN ,(Liczba segmentów: 8)
[ OK ], B4b_OUT , R4_IN ,(Liczba segmentów: 8)
[ OK ], B4b_OUT , R5_IN ,(Liczba segmentów: 8)
[ OK ], B4b_OUT , R6_IN ,(Liczba segmentów: 8)
[ OK ], B4b_OUT , R7_IN ,(Liczba segmentów: 8)
[ OK ], B4b_OUT , R8_IN ,(Liczba segmentów: 8)
[ OK ], B4b_OUT , R9_IN ,(Liczba segmentów: 8)
[ OK ], B5b_OUT , B8b_IN ,(Liczba segmentów: 8)
[ OK ], B6b_OUT , B7b_IN ,(Liczba segmentów: 8)
[ OK ], B7b_OUT , B6b_IN ,(Liczba segmentów: 8)
[ OK ], B8b_OUT , B5b_IN ,(Liczba segmentów: 8)
[ OK ], B9b_OUT , B8b_IN ,(Liczba segmentów: 8)
[ OK ], B10b_OUT , R1_IN_uszkodzony ,(Liczba segmentów: 8)
[ OK ], B10b_OUT , R2_IN ,(Liczba segmentów: 8)
[ OK ], B10b_OUT , R3_IN ,(Liczba segmentów: 8)
[ OK ], B10b_OUT , R4_IN ,(Liczba segmentów: 8)
[ OK ], B10b_OUT , R5_IN ,(Liczba segmentów: 8)
[ OK ], B10b_OUT , R6_IN ,(Liczba segmentów: 8)
[ OK ], B10b_OUT , R7_IN ,(Liczba segmentów: 8)
[ OK ], B10b_OUT , R8_IN ,(Liczba segmentów: 8)
[ OK ], B10b_OUT , R9_IN ,(Liczba segmentów: 8)
[ OK ], B5c_OUT , B8c_IN ,(Liczba segmentów: 8)
[ OK ], B5c_OUT , B9c_IN ,(Liczba segmentów: 8)
[ OK ], B6c_OUT , B7c_IN ,(Liczba segmentów: 8)
[ OK ], B6c_OUT , B10c_IN ,(Liczba segmentów: 8)
[ OK ], B7c_OUT , B6c_IN ,(Liczba segmentów: 8)
[ OK ], B7c_OUT , B11c_IN ,(Liczba segmentów: 8)
[ OK ], B8c_OUT , B5c_IN ,(Liczba segmentów: 8)
[ OK ], B8c_OUT , B12c_IN ,(Liczba segmentów: 8)
[ OK ], B9c_OUT , B5c_IN ,(Liczba segmentów: 8)
[ OK ], B9c_OUT , B12c_IN ,(Liczba segmentów: 8)
[ OK ], B10c_OUT , B6c_IN ,(Liczba segmentów: 8)
[ OK ], B11c_OUT , B7c_IN ,(Liczba segmentów: 8)
[ OK ], B12c_OUT , B8c_IN ,(Liczba segmentów: 8)
[ OK ], NIEBIESKI_OUT , B9b_IN ,(Liczba segmentów: 8)
[ OK ], MAUZER_OUT , B10b_IN ,(Liczba segmentów: 8)
[ OK ], CYSTERNA_B10b_OUT , B10b_IN ,(Liczba segmentów: 8)
[ OK ], R1_OUT , B7b_IN ,(Liczba segmentów: 9)
[ OK ], R1_OUT , B7c_IN ,(Liczba segmentów: 9)
[ OK ], R1_OUT , B10c_IN ,(Liczba segmentów: 9)
[ OK ], R2_OUT , B6b_IN ,(Liczba segmentów: 9)
[ OK ], R2_OUT , B8c_IN ,(Liczba segmentów: 9)
[ OK ], R2_OUT , B9c_IN ,(Liczba segmentów: 9)
[ OK ], R3_OUT , B5b_IN ,(Liczba segmentów: 9)
[ OK ], R4_OUT , B7b_IN ,(Liczba segmentów: 9)
[ OK ], R4_OUT , B7c_IN ,(Liczba segmentów: 9)
[ OK ], R4_OUT , B10c_IN ,(Liczba segmentów: 9)
[ OK ], R5_OUT , B6b_IN ,(Liczba segmentów: 9)
[ OK ], R5_OUT , B8c_IN ,(Liczba segmentów: 9)
[ OK ], R5_OUT , B9c_IN ,(Liczba segmentów: 9)
[ OK ], R6_OUT , B5b_IN ,(Liczba segmentów: 9)
[ OK ], R7_OUT , B7b_IN ,(Liczba segmentów: 9)
[ OK ], R7_OUT , B6c_IN ,(Liczba segmentów: 9)
[ OK ], R7_OUT , B11c_IN ,(Liczba segmentów: 9)
[ OK ], R8_OUT , B6b_IN ,(Liczba segmentów: 9)
[ OK ], R8_OUT , B7c_IN ,(Liczba segmentów: 9)
[ OK ], R8_OUT , B10c_IN ,(Liczba segmentów: 9)
[ OK ], R9_OUT , B5b_IN ,(Liczba segmentów: 9)
[ OK ], R9_OUT , B8c_IN ,(Liczba segmentów: 9)
[ OK ], R9_OUT , B9c_IN ,(Liczba segmentów: 9)
[ OK ], B3b_OUT , R1_IN_uszkodzony ,(Liczba segmentów: 9)
[ OK ], B3b_OUT , R2_IN ,(Liczba segmentów: 9)
[ OK ], B3b_OUT , R3_IN ,(Liczba segmentów: 9)
[ OK ], B3b_OUT , R4_IN ,(Liczba segmentów: 9)
[ OK ], B3b_OUT , R5_IN ,(Liczba segmentów: 9)
[ OK ], B3b_OUT , R6_IN ,(Liczba segmentów: 9)
[ OK ], B3b_OUT , R7_IN ,(Liczba segmentów: 9)
[ OK ], B3b_OUT , R8_IN ,(Liczba segmentów: 9)
[ OK ], B3b_OUT , R9_IN ,(Liczba segmentów: 9)
[ OK ], B4b_OUT , B8b_IN ,(Liczba segmentów: 9)
[ OK ], B5b_OUT , B7b_IN ,(Liczba segmentów: 9)
[ OK ], B6b_OUT , B6b_IN ,(Liczba segmentów: 9)
[ OK ], B7b_OUT , B5b_IN ,(Liczba segmentów: 9)
[ OK ], B8b_OUT , B4b_IN ,(Liczba segmentów: 9)
[ OK ], B9b_OUT , B7b_IN ,(Liczba segmentów: 9)
[ OK ], B10b_OUT , B8b_IN ,(Liczba segmentów: 9)
[ OK ], B4c_OUT , B8c_IN ,(Liczba segmentów: 9)
[ OK ], B4c_OUT , B9c_IN ,(Liczba segmentów: 9)
[ OK ], B5c_OUT , B7c_IN ,(Liczba segmentów: 9)
[ OK ], B5c_OUT , B10c_IN ,(Liczba segmentów: 9)
[ OK ], B6c_OUT , B6c_IN ,(Liczba segmentów: 9)
[ OK ], B6c_OUT , B11c_IN ,(Liczba segmentów: 9)
[ OK ], B7c_OUT , B5c_IN ,(Liczba segmentów: 9)
[ OK ], B7c_OUT , B12c_IN ,(Liczba segmentów: 9)
[ OK ], B8c_OUT , B4c_IN ,(Liczba segmentów: 9)
[ OK ], B9c_OUT , B4c_IN ,(Liczba segmentów: 9)
[ OK ], B10c_OUT , B5c_IN ,(Liczba segmentów: 9)
[ OK ], B11c_OUT , B6c_IN ,(Liczba segmentów: 9)
[ OK ], B12c_OUT , B7c_IN ,(Liczba segmentów: 9)
[ OK ], AP1_OUT , B9b_IN ,(Liczba segmentów: 9)
[ OK ], NIEBIESKI_OUT , B10b_IN ,(Liczba segmentów: 9)
[ OK ], MAUZER_OUT , R1_IN_uszkodzony ,(Liczba segmentów: 9)
[ OK ], MAUZER_OUT , R2_IN ,(Liczba segmentów: 9)
[ OK ], MAUZER_OUT , R3_IN ,(Liczba segmentów: 9)
[ OK ], MAUZER_OUT , R4_IN ,(Liczba segmentów: 9)
[ OK ], MAUZER_OUT , R5_IN ,(Liczba segmentów: 9)
[ OK ], MAUZER_OUT , R6_IN ,(Liczba segmentów: 9)
[ OK ], MAUZER_OUT , R7_IN ,(Liczba segmentów: 9)
[ OK ], MAUZER_OUT , R8_IN ,(Liczba segmentów: 9)
[ OK ], MAUZER_OUT , R9_IN ,(Liczba segmentów: 9)
[ OK ], CYSTERNA_B10b_OUT , R1_IN_uszkodzony ,(Liczba segmentów: 9)
[ OK ], CYSTERNA_B10b_OUT , R2_IN ,(Liczba segmentów: 9)
[ OK ], CYSTERNA_B10b_OUT , R3_IN ,(Liczba segmentów: 9)
[ OK ], CYSTERNA_B10b_OUT , R4_IN ,(Liczba segmentów: 9)
[ OK ], CYSTERNA_B10b_OUT , R5_IN ,(Liczba segmentów: 9)
[ OK ], CYSTERNA_B10b_OUT , R6_IN ,(Liczba segmentów: 9)
[ OK ], CYSTERNA_B10b_OUT , R7_IN ,(Liczba segmentów: 9)
[ OK ], CYSTERNA_B10b_OUT , R8_IN ,(Liczba segmentów: 9)
[ OK ], CYSTERNA_B10b_OUT , R9_IN ,(Liczba segmentów: 9)
[ OK ], BIALA_OUT , B8c_IN ,(Liczba segmentów: 9)
[ OK ], CYSTERNA_B12c_OUT , B8c_IN ,(Liczba segmentów: 9)
[ OK ], R1_OUT , B6b_IN ,(Liczba segmentów: 10)
[ OK ], R1_OUT , B6c_IN ,(Liczba segmentów: 10)
[ OK ], R1_OUT , B11c_IN ,(Liczba segmentów: 10)
[ OK ], R2_OUT , B5b_IN ,(Liczba segmentów: 10)
[ OK ], R2_OUT , B7c_IN ,(Liczba segmentów: 10)
[ OK ], R2_OUT , B10c_IN ,(Liczba segmentów: 10)
[ OK ], R3_OUT , B4b_IN ,(Liczba segmentów: 10)
[ OK ], R3_OUT , B8c_IN ,(Liczba segmentów: 10)
[ OK ], R3_OUT , B9c_IN ,(Liczba segmentów: 10)
[ OK ], R4_OUT , B6b_IN ,(Liczba segmentów: 10)
[ OK ], R4_OUT , B6c_IN ,(Liczba segmentów: 10)
[ OK ], R4_OUT , B11c_IN ,(Liczba segmentów: 10)
[ OK ], R5_OUT , B5b_IN ,(Liczba segmentów: 10)
[ OK ], R5_OUT , B7c_IN ,(Liczba segmentów: 10)
[ OK ], R5_OUT , B10c_IN ,(Liczba segmentów: 10)
[ OK ], R6_OUT , B4b_IN ,(Liczba segmentów: 10)
[ OK ], R6_OUT , B8c_IN ,(Liczba segmentów: 10)
[ OK ], R6_OUT , B9c_IN ,(Liczba segmentów: 10)
[ OK ], R7_OUT , B6b_IN ,(Liczba segmentów: 10)
[ OK ], R7_OUT , B5c_IN ,(Liczba segmentów: 10)
[ OK ], R7_OUT , B12c_IN ,(Liczba segmentów: 10)
[ OK ], R8_OUT , B5b_IN ,(Liczba segmentów: 10)
[ OK ], R8_OUT , B6c_IN ,(Liczba segmentów: 10)
[ OK ], R8_OUT , B11c_IN ,(Liczba segmentów: 10)
[ OK ], R9_OUT , B4b_IN ,(Liczba segmentów: 10)
[ OK ], R9_OUT , B7c_IN ,(Liczba segmentów: 10)
[ OK ], R9_OUT , B10c_IN ,(Liczba segmentów: 10)
[ OK ], B2b_OUT , R1_IN_uszkodzony ,(Liczba segmentów: 10)
[ OK ], B2b_OUT , R2_IN ,(Liczba segmentów: 10)
[ OK ], B2b_OUT , R3_IN ,(Liczba segmentów: 10)
[ OK ], B2b_OUT , R4_IN ,(Liczba segmentów: 10)
[ OK ], B2b_OUT , R5_IN ,(Liczba segmentów: 10)
[ OK ], B2b_OUT , R6_IN ,(Liczba segmentów: 10)
[ OK ], B2b_OUT , R7_IN ,(Liczba segmentów: 10)
[ OK ], B2b_OUT , R8_IN ,(Liczba segmentów: 10)
[ OK ], B2b_OUT , R9_IN ,(Liczba segmentów: 10)
[ OK ], B3b_OUT , B8b_IN ,(Liczba segmentów: 10)
[ OK ], B4b_OUT , B7b_IN ,(Liczba segmentów: 10)
[ OK ], B5b_OUT , B6b_IN ,(Liczba segmentów: 10)
[ OK ], B6b_OUT , B5b_IN ,(Liczba segmentów: 10)
[ OK ], B7b_OUT , B4b_IN ,(Liczba segmentów: 10)
[ OK ], B8b_OUT , B3b_IN ,(Liczba segmentów: 10)
[ OK ], B9b_OUT , B6b_IN ,(Liczba segmentów: 10)
[ OK ], B10b_OUT , B7b_IN ,(Liczba segmentów: 10)
[ OK ], B3c_OUT , B8c_IN ,(Liczba segmentów: 10)
[ OK ], B3c_OUT , B9c_IN ,(Liczba segmentów: 10)
[ OK ], B4c_OUT , B7c_IN ,(Liczba segmentów: 10)
[ OK ], B4c_OUT , B10c_IN ,(Liczba segmentów: 10)
[ OK ], B5c_OUT , B6c_IN ,(Liczba segmentów: 10)
[ OK ], B5c_OUT , B11c_IN ,(Liczba segmentów: 10)
[ OK ], B6c_OUT , B5c_IN ,(Liczba segmentów: 10)
[ OK ], B6c_OUT , B12c_IN ,(Liczba segmentów: 10)
[ OK ], B7c_OUT , B4c_IN ,(Liczba segmentów: 10)
[ OK ], B8c_OUT , B3c_IN ,(Liczba segmentów: 10)
[ OK ], B9c_OUT , B3c_IN ,(Liczba segmentów: 10)
[ OK ], B10c_OUT , B4c_IN ,(Liczba segmentów: 10)
[ OK ], B11c_OUT , B5c_IN ,(Liczba segmentów: 10)
[ OK ], B12c_OUT , B6c_IN ,(Liczba segmentów: 10)
[ OK ], AP1_OUT , B10b_IN ,(Liczba segmentów: 10)
